t,y,yref
1450,0.59984,0.60003
1452.5,0.59979,0.60002
1455,0.59975,0.60002
1457.5,0.59973,0.60001
1460,0.59971,0.60001
1462.5,0.59972,0.60002
1465,0.59973,0.60003
1467.5,0.59976,0.60004
1470,0.59981,0.60005
1472.5,0.59987,0.60007
1475,0.59994,0.60009
1477.5,0.60003,0.60012
1480,0.60012,0.60015
1482.5,0.60023,0.60017
1485,0.60034,0.6002
1487.5,0.60045,0.60023
1490,0.60056,0.60025
1492.5,0.60067,0.60028
1495,0.60077,0.60029
1497.5,0.60086,0.6003
1500,0.60093,0.60031
1502.5,0.60097,0.6003
1505,0.60099,0.60028
1507.5,0.60098,0.60026
1510,0.60094,0.60022
1512.5,0.60086,0.60018
1515,0.4798,0.5874
1517.5,0.26972,0.57411
1520,0.08682,0.57225
1522.5,0,0.57957
1525,0,0.59412
1527.5,0,0.61425
1530,0.018247,0.63854
1532.5,0.13544,0.6661
1535,0.27576,0.69678
1537.5,0.42033,0.72978
1540,0.55456,0.76405
1542.5,0.67092,0.79847
1545,0.76727,0.83203
1547.5,0.84465,0.8639
1550,0.90559,0.89346
1552.5,0.95305,0.92037
1555,0.9899,0.94451
1557.5,1.0186,0.96597
1560,1.0411,0.98499
1562.5,1.0591,1.0019
1565,1.0737,1.0169
1567.5,1.0858,1.0304
1570,1.096,1.0427
1572.5,1.1049,1.0539
1575,1.1127,1.0642
1577.5,1.1196,1.0738
1580,1.1259,1.0827
1582.5,1.1315,1.091
1585,1.1366,1.0987
1587.5,1.1412,1.1058
1590,1.1454,1.1124
1592.5,1.1492,1.1185
1595,1.1525,1.1241
1597.5,1.1555,1.1292
1600,1.1582,1.1339
1602.5,1.1606,1.1381
1605,1.1627,1.142
1607.5,1.1645,1.1454
1610,1.1662,1.1485
1612.5,1.1676,1.1513
1615,1.1689,1.1538
1617.5,1.17,1.1561
1620,1.171,1.1582
1622.5,1.172,1.16
1625,1.1728,1.1617
1627.5,1.1736,1.1633
1630,1.1743,1.1647
1632.5,1.175,1.1661
1635,1.1756,1.1673
1637.5,1.1762,1.1684
1640,1.1768,1.1695
1642.5,1.1773,1.1705
1645,1.1779,1.1715
1647.5,1.1784,1.1724
1650,1.1789,1.1733
1652.5,1.1794,1.1741
1655,1.1799,1.1749
1657.5,1.1804,1.1756
1660,1.1808,1.1764
1662.5,1.1813,1.177
1665,1.1817,1.1777
1667.5,1.1822,1.1783
1670,1.1826,1.1789
1672.5,1.183,1.1795
1675,1.1834,1.1801
1677.5,1.1838,1.1806
1680,1.1842,1.1811
1682.5,1.1845,1.1816
1685,1.1849,1.1821
1687.5,1.1853,1.1825
1690,1.1856,1.183
1692.5,1.1859,1.1834
1695,1.1863,1.1838
1697.5,1.1866,1.1842
1700,1.1869,1.1845
1702.5,1.1871,1.1849
1705,1.1872,1.1852
1707.5,1.1874,1.1856
1710,1.1875,1.1859
1712.5,1.1877,1.1862
1715,1.1878,1.1865
1717.5,1.188,1.1868
1720,1.1881,1.1871
1722.5,1.1883,1.1873
1725,1.1885,1.1876
1727.5,1.1887,1.1879
1730,1.1889,1.1881
1732.5,1.1891,1.1883
1735,1.1893,1.1886
1737.5,1.1896,1.1888
1740,1.1898,1.189
1742.5,1.19,1.1893
1745,1.1902,1.1895
1747.5,1.1904,1.1897
1750,1.1906,1.19
1752.5,1.1909,1.1902
1755,1.1911,1.1904
1757.5,1.1913,1.1906
1760,1.1915,1.1909
1762.5,1.1917,1.1911
1765,1.1919,1.1913
1767.5,1.1921,1.1916
1770,1.1923,1.1918
1772.5,1.1925,1.1921
1775,1.1927,1.1923
1777.5,1.1929,1.1925
1780,1.1931,1.1928
1782.5,1.1933,1.193
1785,1.1935,1.1932
1787.5,1.1937,1.1934
1790,1.1938,1.1935
1792.5,1.194,1.1937
1795,1.1941,1.1938
1797.5,1.1942,1.194
1800,1.1943,1.1941
1802.5,1.1944,1.1942
1805,1.1945,1.1943
1807.5,1.1946,1.1944
1810,1.1947,1.1945
1812.5,1.1948,1.1945
1815,1.1949,1.1946
1817.5,1.195,1.1947
1820,1.1951,1.1948
1822.5,1.1952,1.1949
1825,1.1953,1.195
1827.5,1.1953,1.1951
1830,1.1954,1.1952
1832.5,1.1955,1.1952
1835,1.1956,1.1953
1837.5,1.1957,1.1954
1840,1.1958,1.1955
1842.5,1.1959,1.1956
1845,1.1959,1.1957
1847.5,1.196,1.1958
1850,1.1961,1.1959
1852.5,1.1962,1.1959
1855,1.1963,1.196
1857.5,1.1963,1.1961
1860,1.1964,1.1962
1862.5,1.1965,1.1963
1865,1.1965,1.1963
1867.5,1.1966,1.1964
1870,1.1967,1.1965
1872.5,1.1967,1.1965
1875,1.1968,1.1966
1877.5,1.1969,1.1967
1880,1.1969,1.1967
1882.5,1.197,1.1968
1885,1.197,1.1969
1887.5,1.1971,1.1969
1890,1.1972,1.197
1892.5,1.1972,1.1971
1895,1.1973,1.1971
1897.5,1.1973,1.1972
1900,1.1974,1.1972
1902.5,1.1974,1.1973
1905,1.1975,1.1973
1907.5,1.1975,1.1974
1910,1.1976,1.1974
1912.5,1.1976,1.1975
1915,1.1977,1.1975
1917.5,1.1977,1.1976
1920,1.1978,1.1976
1922.5,1.1978,1.1977
1925,1.1978,1.1977
1927.5,1.1979,1.1978
1930,1.1979,1.1978
1932.5,1.198,1.1978
1935,1.198,1.1979
1937.5,1.198,1.1979
1940,1.1981,1.198
1942.5,1.1981,1.198
1945,1.1982,1.198
1947.5,1.1982,1.1981
1950,1.1982,1.1981
1952.5,1.1983,1.1982
1955,1.1983,1.1982
1957.5,1.1983,1.1982
1960,1.1984,1.1983
1962.5,1.1984,1.1983
1965,1.1984,1.1983
1967.5,1.1984,1.1984
1970,1.1985,1.1984
1972.5,1.1985,1.1984
1975,1.1985,1.1985
1977.5,1.1986,1.1985
1980,1.1986,1.1985
1982.5,1.1986,1.1985
1985,1.1986,1.1986
1987.5,1.1987,1.1986
1990,1.1987,1.1986
1992.5,1.1987,1.1987
1995,1.1987,1.1987
1997.5,1.1988,1.1987
2000,1.1988,1.1987
2002.5,1.1988,0
