t,y,yref
1565,1.0707,1.0169
1567.5,1.0844,1.0304
1570,1.0971,1.0427
1572.5,1.109,1.0539
1575,1.12,1.0642
1577.5,1.1305,1.0738
1580,1.1403,1.0827
1582.5,1.1496,1.091
1585,1.1584,1.0987
1587.5,1.1666,1.1058
1590,1.1743,1.1124
1592.5,1.1815,1.1185
1595,1.1883,1.1241
1597.5,1.1945,1.1292
1600,1.2003,1.1339
1602.5,1.2057,1.1381
1605,1.2106,1.142
1607.5,1.2151,1.1454
1610,1.2193,1.1485
1612.5,1.2231,1.1513
1615,1.2267,1.1538
1617.5,1.23,1.1561
1620,1.233,1.1582
1622.5,1.2358,1.16
1625,1.2385,1.1617
1627.5,1.2409,1.1633
1630,1.2433,1.1647
1632.5,1.2454,1.1661
1635,1.2475,1.1673
1637.5,1.2495,1.1684
1640,1.2514,1.1695
1642.5,1.2532,1.1705
1645,1.2549,1.1715
1647.5,1.2566,1.1724
1650,1.2582,1.1733
1652.5,1.2597,1.1741
1655,1.2612,1.1749
1657.5,1.2627,1.1756
1660,1.2641,1.1764
1662.5,1.2654,1.177
1665,1.2667,1.1777
1667.5,1.268,1.1783
1670,1.2692,1.1789
1672.5,1.2704,1.1795
1675,1.2715,1.1801
1677.5,1.2726,1.1806
1680,1.2737,1.1811
1682.5,1.2747,1.1816
1685,1.2758,1.1821
1687.5,1.2767,1.1825
1690,1.2777,1.183
1692.5,1.2786,1.1834
1695,1.2795,1.1838
1697.5,1.2804,1.1842
1700,1.2812,1.1845
1702.5,1.2821,1.1849
1705,1.2825,1.1852
1707.5,1.2827,1.1856
1710,1.2829,1.1859
1712.5,1.2831,1.1862
1715,1.2833,1.1865
1717.5,1.2836,1.1868
1720,1.2839,1.1871
1722.5,1.2842,1.1873
1725,1.2846,1.1876
1727.5,1.285,1.1879
1730,1.2854,1.1881
1732.5,1.286,1.1883
1735,1.2865,1.1886
1737.5,1.2871,1.1888
1740,1.2876,1.189
1742.5,1.2882,1.1893
1745,1.2888,1.1895
1747.5,1.2893,1.1897
1750,1.2899,1.19
1752.5,1.2904,1.1902
1755,1.2909,1.1904
1757.5,1.2915,1.1906
1760,1.292,1.1909
1762.5,1.2925,1.1911
1765,1.293,1.1913
1767.5,1.2935,1.1916
1770,1.294,1.1918
